"SK_ID_CURR","TARGET","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","DAYS_BIRTH","DAYS_EMPLOYED","EXT_SOURCE_2","EXT_SOURCE_3"
100001,1,26710.87,74887.32,5560.32,-19215,-9231,0.8242,0.3129
100002,0,33769.07,50869.05,7899.76,-10447,-12225,0.4371,0.2915
100003,0,8016.41,27544.47,4114.62,-7537,-5145,0.6226,0.3686
100004,0,30302.38,48298.82,5208.36,-22452,-5824,0.6766,0.2203
100005,1,52281.38,156667.5,8446.41,-9818,-219,0.6309,0.6732
100006,1,42711.77,67194.58,3403.85,-26573,-2367,0.5288,0.2741
100007,0,27512.37,63861.95,4309.82,-23361,-8674,0.8523,0.7059
100008,1,30715.46,117010.82,13552.96,-21843,-1604,0.5311,0.1591
100009,0,48687.47,131450.52,9893.79,-16448,-14590,0.9537,0.6184
100010,1,46160.56,112592.33,12466.38,-17712,-606,0.5375,0.3294
100011,0,13238.69,30448.04,3716.47,-14971,-2650,0.811,0.4763
100012,0,26729.08,93734.66,7988.43,-19336,-2671,1,0.6029
100013,0,42638.01,64411.32,4921.84,-10903,-5566,0.2722,0.2666
100014,1,71695.21,117543.11,6213,-7367,-2514,0.4942,0.4975
100015,1,14357.36,42972.57,2733.05,-5542,-12442,0.5233,0.4411
100016,1,42612.17,165589.53,10836.74,-18357,-7727,0.6772,0.2263
100017,0,21757.16,46405.92,2600.29,-21289,-14248,0.4931,0.5653
100018,1,68641.05,197001.1,18415.08,-10815,-1430,0.0187,0
100019,0,34672.49,54059.9,3691.93,-5209,-3336,0.0619,0.7588
100020,0,35712.52,53824.22,2694.29,-20322,-7253,0.814,0.6893
100021,1,27988.75,109249.49,11048.46,-26400,-4469,0.4887,0.4097
100022,1,18870.65,35904,1959.7,-15160,-624,0.1937,0.3635
100023,0,21902.07,75943.59,4215.7,-19174,-580,0.5156,0.5194
100024,1,34596.36,111862.14,6640.17,-6692,-4715,0.7929,0.3529
100025,0,59505.99,139293.2,18133.64,-18473,-8777,0.929,0.4109
100026,1,53896.09,83226.4,4322.46,-16883,-7145,0.4639,0.496
100027,1,116956.27,203613.85,10857.85,-12941,-13628,0.4985,0.4311
100028,1,51344.05,119886.35,6149.89,-15040,-11322,0.1974,0.792
100029,0,33785.75,52883.83,4008.47,-5410,-7404,0.642,0.3829
100030,0,59841.76,226010.71,21999.87,-6137,-11075,0.422,0.2749
100031,1,36865.2,143580.99,13310.65,-22117,-12291,0.6411,0.2235
100032,0,92776.38,224475.46,14663.5,-17621,-3710,0.691,0.3368
100033,0,46170.2,166921.47,17748.45,-20507,-8233,0.757,0.2551
100034,1,161934.19,381523.92,42019.23,-23878,-5827,0.4282,0.639
100035,0,12727.73,38185.42,3708.37,-13696,-9458,0.651,0.4995
100036,1,22027.26,41044.89,4702.04,-6835,-4090,0.2066,0.4291
100037,1,66874.85,225562.4,20000.74,-20232,-12743,0.3931,0.4556
100038,1,62377.8,213591.98,11232.57,-16276,-4966,0.3798,0.2685
100039,0,44122.09,98971.3,5267.04,-24767,-11023,0.0672,0.9202
100040,0,13842.6,26981.33,2773.55,-25859,-1322,0.5572,0.6118
100041,0,27697.91,83904.19,5022.97,-22066,-485,0.5912,0.6068
100042,1,79432.85,310004.59,24613.92,-9540,-6759,0.4778,0.484
100043,0,77011.25,215622.26,16975.07,-23588,-13380,0.7016,0.4818
100044,0,32952.08,102641.15,10320.52,-21470,-8035,0.4047,0.5856
100045,1,35200.96,86697.33,4424.21,-22198,-7869,0.2763,0.5369
100046,0,18736.77,49635.62,3915.55,-16178,-7252,0.6366,0.6061
100047,0,41830.23,144164.9,11493.94,-11665,-14844,0.3877,0.3611
100048,0,55372.28,177472.84,10093.9,-17189,-12586,0.8388,0.7043
100049,1,61643.49,123458.69,14677.34,-29339,-14923,0.4637,0.1553
100050,0,133317.59,370471.57,40089.76,-11414,-8810,0.6811,0.8152
100051,0,96557.81,251094.16,12813.24,-22796,-2827,0.6144,0.4336
100052,0,70802.11,265972.69,17676,-24257,-11616,0.3932,0.4914
100053,0,22472.38,50655.81,8045.75,-21178,-14580,0.8651,0.4384
100054,1,45437.36,142841.67,12568.81,-20979,-3552,0.6786,0.2814
100055,1,67892.55,107001.96,5758.93,-14253,-9078,0.568,0.3567
100056,0,27639.24,110405.83,18307.86,-8213,-5210,0.6053,0.7533
100057,0,25302.03,79138.05,4949.15,-6087,-5437,0.6859,0.8648
100058,1,18977.21,73013.77,5197.44,-13038,-4410,0.568,0.2387
100059,1,43795.92,169161.92,23957.84,-15132,-8231,0,0.521
100060,1,25551.61,51333.58,3563.48,-13338,-4373,0.607,0.3425
100061,1,27230.76,97874.28,5137.26,-12957,-10519,0.4766,0.4681
100062,0,33432.03,89077.26,10329.49,-27732,-8426,0.587,0.5197
100063,0,43304.37,161374.34,23676.25,-5547,-6917,0.6664,0.3465
100064,0,52729.68,84239.29,8388.28,-6883,-433,0.8299,0.5075
100065,0,27740.97,58057.75,4585.01,-24653,-2762,0.4045,0.7836
100066,0,40349.91,65692.4,8247.63,-10874,-5573,0.8105,0.2338
100067,0,76904.45,201692.51,23670.86,-16780,-9305,0.6172,0.3704
100068,1,61485.74,128081.94,9109.69,-9760,-7372,0.7577,0.5094
100069,0,178334.28,613359.84,48474.3,-27857,-2155,0.7341,0.5247
100070,0,28130.37,76483.24,4640.69,-26693,-13761,0.6942,0.4635
100071,0,47038.66,111824.45,6380.62,-16054,-6973,0.3414,0.5193
100072,0,42829.72,129942.56,7272.88,-29689,-12023,0.532,0.4171
100073,1,129419.13,409830,26005.22,-28362,-13300,0.6747,0.488
100074,1,33072.45,131152.27,9474.05,-19773,-9015,0.3593,0.4363
100075,1,29751.96,46125.87,4443.26,-8075,-1796,0.4414,0.6333
100076,0,72980.02,172492.44,10187.18,-20040,-8242,0.6662,0.5921
100077,0,85773.08,210106.56,13032.64,-8416,-7113,0.7036,0.4462
100078,0,75691.02,161338.56,20066.85,-7092,-4965,0.6428,0.7126
100079,1,26021.71,81773.94,9839.41,-14318,-11695,0.3728,0.4841
100080,1,36745.25,113403.69,14603.48,-8103,-2287,0.33,0.5658
100081,0,169298.49,673968.37,53788.42,-26653,-8182,0.8525,0.4956
100082,0,15929.67,60492.5,4615.73,-28283,-1061,0.6016,0.3275
100083,0,121005.24,289700.71,21237.76,-6664,-5411,0.5677,0.5968
100084,0,69379.07,151029.32,15891.27,-26299,-1029,0.5258,0.0799
100085,1,31553.98,101264.27,15771.09,-29031,-3058,0.3111,0.2563
100086,0,37872.72,81613.23,9025.03,-28036,-6204,0.6724,0.5755
100087,1,25681.54,89772.89,12778.38,-22897,-7067,0.5066,0.6981
100088,1,36238.47,57491.66,5367.57,-9339,-13505,0.5134,0.1486
100089,0,55109.8,84444.16,9823.44,-22840,-13945,0.7367,0.6865
100090,0,63508.9,123223.86,17477.69,-25228,-328,0.7144,0.1832
100091,0,14993.29,31881.34,1874.56,-10181,-5234,0.8284,0.3307
100092,1,36435.09,108249.55,5872.82,-26253,-13472,0.4548,0.1841
100093,0,37100.12,139877.67,8363.16,-19204,-5382,0.6801,0.4136
100094,0,29884.77,113825.84,7522.6,-23447,-10970,0.8282,0.4598
100095,0,69220.21,146626.71,14840.16,-10872,-9313,0.3278,0.5324
100096,1,81565.85,319414.26,43650.54,-7688,-13503,0.3778,0.3655
100097,0,61948.47,194129.47,31408.04,-15592,-8708,0.3237,0.4461
100098,1,27162.17,68933.23,3980.64,-14981,-4652,0.2582,0.5106
100099,0,45792.19,146649.21,16490.03,-14343,-14381,0.566,0.2555
100100,0,60760.84,92208.8,8008.84,-26592,-11705,0.6806,0.3098
